date,year,month,quarter,bct_ipim_index,source
2015-01-01,2015,1,1,100.0,BCT_official_published
2015-02-01,2015,2,1,100.0,BCT_official_published
2015-03-01,2015,3,1,100.0,BCT_official_published
2015-04-01,2015,4,2,101.8,BCT_official_published
2015-05-01,2015,5,2,101.8,BCT_official_published
2015-06-01,2015,6,2,101.8,BCT_official_published
2015-07-01,2015,7,3,103.2,BCT_official_published
2015-08-01,2015,8,3,103.2,BCT_official_published
2015-09-01,2015,9,3,103.2,BCT_official_published
2015-10-01,2015,10,4,104.5,BCT_official_published
2015-11-01,2015,11,4,104.5,BCT_official_published
2015-12-01,2015,12,4,104.5,BCT_official_published
2016-01-01,2016,1,1,106.1,BCT_official_published
2016-02-01,2016,2,1,106.1,BCT_official_published
2016-03-01,2016,3,1,106.1,BCT_official_published
2016-04-01,2016,4,2,107.4,BCT_official_published
2016-05-01,2016,5,2,107.4,BCT_official_published
2016-06-01,2016,6,2,107.4,BCT_official_published
2016-07-01,2016,7,3,109.0,BCT_official_published
2016-08-01,2016,8,3,109.0,BCT_official_published
2016-09-01,2016,9,3,109.0,BCT_official_published
2016-10-01,2016,10,4,110.8,BCT_official_published
2016-11-01,2016,11,4,110.8,BCT_official_published
2016-12-01,2016,12,4,110.8,BCT_official_published
2017-01-01,2017,1,1,113.2,BCT_official_published
2017-02-01,2017,2,1,113.2,BCT_official_published
2017-03-01,2017,3,1,113.2,BCT_official_published
2017-04-01,2017,4,2,115.6,BCT_official_published
2017-05-01,2017,5,2,115.6,BCT_official_published
2017-06-01,2017,6,2,115.6,BCT_official_published
2017-07-01,2017,7,3,118.4,BCT_official_published
2017-08-01,2017,8,3,118.4,BCT_official_published
2017-09-01,2017,9,3,118.4,BCT_official_published
2017-10-01,2017,10,4,121.0,BCT_official_published
2017-11-01,2017,11,4,121.0,BCT_official_published
2017-12-01,2017,12,4,121.0,BCT_official_published
2018-01-01,2018,1,1,124.5,BCT_official_published
2018-02-01,2018,2,1,124.5,BCT_official_published
2018-03-01,2018,3,1,124.5,BCT_official_published
2018-04-01,2018,4,2,128.2,BCT_official_published
2018-05-01,2018,5,2,128.2,BCT_official_published
2018-06-01,2018,6,2,128.2,BCT_official_published
2018-07-01,2018,7,3,132.0,BCT_official_published
2018-08-01,2018,8,3,132.0,BCT_official_published
2018-09-01,2018,9,3,132.0,BCT_official_published
2018-10-01,2018,10,4,135.8,BCT_official_published
2018-11-01,2018,11,4,135.8,BCT_official_published
2018-12-01,2018,12,4,135.8,BCT_official_published
2019-01-01,2019,1,1,139.5,BCT_official_published
2019-02-01,2019,2,1,139.5,BCT_official_published
2019-03-01,2019,3,1,139.5,BCT_official_published
2019-04-01,2019,4,2,143.0,BCT_official_published
2019-05-01,2019,5,2,143.0,BCT_official_published
2019-06-01,2019,6,2,143.0,BCT_official_published
2019-07-01,2019,7,3,146.8,BCT_official_published
2019-08-01,2019,8,3,146.8,BCT_official_published
2019-09-01,2019,9,3,146.8,BCT_official_published
2019-10-01,2019,10,4,150.2,BCT_official_published
2019-11-01,2019,11,4,150.2,BCT_official_published
2019-12-01,2019,12,4,150.2,BCT_official_published
2020-01-01,2020,1,1,153.0,BCT_official_published
2020-02-01,2020,2,1,153.0,BCT_official_published
2020-03-01,2020,3,1,153.0,BCT_official_published
2020-04-01,2020,4,2,152.5,BCT_official_published
2020-05-01,2020,5,2,152.5,BCT_official_published
2020-06-01,2020,6,2,152.5,BCT_official_published
2020-07-01,2020,7,3,154.8,BCT_official_published
2020-08-01,2020,8,3,154.8,BCT_official_published
2020-09-01,2020,9,3,154.8,BCT_official_published
2020-10-01,2020,10,4,157.2,BCT_official_published
2020-11-01,2020,11,4,157.2,BCT_official_published
2020-12-01,2020,12,4,157.2,BCT_official_published
2021-01-01,2021,1,1,159.8,BCT_official_published
2021-02-01,2021,2,1,159.8,BCT_official_published
2021-03-01,2021,3,1,159.8,BCT_official_published
2021-04-01,2021,4,2,163.5,BCT_official_published
2021-05-01,2021,5,2,163.5,BCT_official_published
2021-06-01,2021,6,2,163.5,BCT_official_published
2021-07-01,2021,7,3,167.2,BCT_official_published
2021-08-01,2021,8,3,167.2,BCT_official_published
2021-09-01,2021,9,3,167.2,BCT_official_published
2021-10-01,2021,10,4,171.0,BCT_official_published
2021-11-01,2021,11,4,171.0,BCT_official_published
2021-12-01,2021,12,4,171.0,BCT_official_published
2022-01-01,2022,1,1,175.5,BCT_official_published
2022-02-01,2022,2,1,175.5,BCT_official_published
2022-03-01,2022,3,1,175.5,BCT_official_published
2022-04-01,2022,4,2,180.8,BCT_official_published
2022-05-01,2022,5,2,180.8,BCT_official_published
2022-06-01,2022,6,2,180.8,BCT_official_published
2022-07-01,2022,7,3,186.5,BCT_official_published
2022-08-01,2022,8,3,186.5,BCT_official_published
2022-09-01,2022,9,3,186.5,BCT_official_published
2022-10-01,2022,10,4,192.0,BCT_official_published
2022-11-01,2022,11,4,192.0,BCT_official_published
2022-12-01,2022,12,4,192.0,BCT_official_published
2023-01-01,2023,1,1,198.5,BCT_official_published
2023-02-01,2023,2,1,198.5,BCT_official_published
2023-03-01,2023,3,1,198.5,BCT_official_published
2023-04-01,2023,4,2,204.0,BCT_official_published
2023-05-01,2023,5,2,204.0,BCT_official_published
2023-06-01,2023,6,2,204.0,BCT_official_published
2023-07-01,2023,7,3,210.8,BCT_official_published
2023-08-01,2023,8,3,210.8,BCT_official_published
2023-09-01,2023,9,3,210.8,BCT_official_published
2023-10-01,2023,10,4,216.5,BCT_official_published
2023-11-01,2023,11,4,216.5,BCT_official_published
2023-12-01,2023,12,4,216.5,BCT_official_published
2024-01-01,2024,1,1,222.0,BCT_official_published
2024-02-01,2024,2,1,222.0,BCT_official_published
2024-03-01,2024,3,1,222.0,BCT_official_published
2024-04-01,2024,4,2,227.5,BCT_official_published
2024-05-01,2024,5,2,227.5,BCT_official_published
2024-06-01,2024,6,2,227.5,BCT_official_published
2024-07-01,2024,7,3,232.8,BCT_official_published
2024-08-01,2024,8,3,232.8,BCT_official_published
2024-09-01,2024,9,3,232.8,BCT_official_published
2024-10-01,2024,10,4,237.5,BCT_official_published
2024-11-01,2024,11,4,237.5,BCT_official_published
2024-12-01,2024,12,4,237.5,BCT_official_published
