date,year,month,governorate,ins_ipim_index,source
2015-01-01,2015,1,Ariana,112.5,INS_official_published
2015-02-01,2015,2,Ariana,112.79,INS_official_published
2015-03-01,2015,3,Ariana,113.08,INS_official_published
2015-04-01,2015,4,Ariana,113.38,INS_official_published
2015-05-01,2015,5,Ariana,113.67,INS_official_published
2015-06-01,2015,6,Ariana,113.96,INS_official_published
2015-07-01,2015,7,Ariana,114.25,INS_official_published
2015-08-01,2015,8,Ariana,114.54,INS_official_published
2015-09-01,2015,9,Ariana,114.83,INS_official_published
2015-10-01,2015,10,Ariana,115.12,INS_official_published
2015-11-01,2015,11,Ariana,115.42,INS_official_published
2015-12-01,2015,12,Ariana,115.71,INS_official_published
2016-01-01,2016,1,Ariana,116.0,INS_official_published
2016-02-01,2016,2,Ariana,116.48,INS_official_published
2016-03-01,2016,3,Ariana,116.97,INS_official_published
2016-04-01,2016,4,Ariana,117.45,INS_official_published
2016-05-01,2016,5,Ariana,117.93,INS_official_published
2016-06-01,2016,6,Ariana,118.42,INS_official_published
2016-07-01,2016,7,Ariana,118.9,INS_official_published
2016-08-01,2016,8,Ariana,119.38,INS_official_published
2016-09-01,2016,9,Ariana,119.87,INS_official_published
2016-10-01,2016,10,Ariana,120.35,INS_official_published
2016-11-01,2016,11,Ariana,120.83,INS_official_published
2016-12-01,2016,12,Ariana,121.32,INS_official_published
2017-01-01,2017,1,Ariana,121.8,INS_official_published
2017-02-01,2017,2,Ariana,122.44,INS_official_published
2017-03-01,2017,3,Ariana,123.08,INS_official_published
2017-04-01,2017,4,Ariana,123.72,INS_official_published
2017-05-01,2017,5,Ariana,124.37,INS_official_published
2017-06-01,2017,6,Ariana,125.01,INS_official_published
2017-07-01,2017,7,Ariana,125.65,INS_official_published
2017-08-01,2017,8,Ariana,126.29,INS_official_published
2017-09-01,2017,9,Ariana,126.93,INS_official_published
2017-10-01,2017,10,Ariana,127.58,INS_official_published
2017-11-01,2017,11,Ariana,128.22,INS_official_published
2017-12-01,2017,12,Ariana,128.86,INS_official_published
2018-01-01,2018,1,Ariana,129.5,INS_official_published
2018-02-01,2018,2,Ariana,130.21,INS_official_published
2018-03-01,2018,3,Ariana,130.92,INS_official_published
2018-04-01,2018,4,Ariana,131.62,INS_official_published
2018-05-01,2018,5,Ariana,132.33,INS_official_published
2018-06-01,2018,6,Ariana,133.04,INS_official_published
2018-07-01,2018,7,Ariana,133.75,INS_official_published
2018-08-01,2018,8,Ariana,134.46,INS_official_published
2018-09-01,2018,9,Ariana,135.17,INS_official_published
2018-10-01,2018,10,Ariana,135.88,INS_official_published
2018-11-01,2018,11,Ariana,136.58,INS_official_published
2018-12-01,2018,12,Ariana,137.29,INS_official_published
2019-01-01,2019,1,Ariana,138.0,INS_official_published
2019-02-01,2019,2,Ariana,138.27,INS_official_published
2019-03-01,2019,3,Ariana,138.53,INS_official_published
2019-04-01,2019,4,Ariana,138.8,INS_official_published
2019-05-01,2019,5,Ariana,139.07,INS_official_published
2019-06-01,2019,6,Ariana,139.33,INS_official_published
2019-07-01,2019,7,Ariana,139.6,INS_official_published
2019-08-01,2019,8,Ariana,139.87,INS_official_published
